DATFILE : bwopen0_3r_500.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR3
RANGE : 500
STARTING_POS : 0
N_ROBOTS : 3
KUMAR3 T / cardinality : 1897.0
CONFIGURATIONS :
55.0 55.0 55.0 
68.0 68.0 68.0 
80.0 80.0 80.0 
98.0 98.0 98.0 
113.0 113.0 113.0 
127.0 127.0 127.0 
139.0 139.0 139.0 
152.0 152.0 152.0 
163.0 163.0 163.0 
178.0 178.0 178.0 
189.0 189.0 189.0 
202.0 202.0 202.0 
222.0 222.0 222.0 
235.0 235.0 235.0 
246.0 246.0 246.0 
259.0 259.0 259.0 
273.0 273.0 273.0 
291.0 291.0 291.0 
309.0 309.0 309.0 
322.0 322.0 322.0 
334.0 334.0 334.0 
349.0 349.0 349.0 
361.0 361.0 361.0 
376.0 376.0 376.0 
389.0 389.0 389.0 
403.0 403.0 403.0 
416.0 416.0 416.0 
432.0 432.0 432.0 
446.0 446.0 446.0 
467.0 467.0 467.0 
482.0 482.0 482.0 
495.0 495.0 495.0 
512.0 512.0 512.0 
525.0 525.0 525.0 
543.0 543.0 543.0 
561.0 561.0 561.0 
572.0 572.0 572.0 
583.0 583.0 583.0 
594.0 594.0 594.0 
607.0 607.0 607.0 
620.0 620.0 620.0 
633.0 633.0 633.0 
644.0 644.0 644.0 
667.0 667.0 667.0 
687.0 687.0 687.0 
700.0 700.0 700.0 
713.0 713.0 713.0 
726.0 726.0 726.0 
737.0 737.0 737.0 
750.0 750.0 750.0 
766.0 766.0 766.0 
786.0 786.0 786.0 
797.0 797.0 797.0 
810.0 810.0 810.0 
823.0 823.0 823.0 
835.0 835.0 835.0 
848.0 848.0 848.0 
865.0 865.0 865.0 
878.0 878.0 878.0 
901.0 901.0 901.0 
926.0 926.0 926.0 
944.0 944.0 944.0 
959.0 959.0 959.0 
990.0 990.0 990.0 
1007.0 1007.0 1007.0 
1057.0 1057.0 1057.0 
1083.0 1083.0 1083.0 
1104.0 1104.0 1104.0 
1142.0 1142.0 1142.0 
1161.0 1161.0 1161.0 
1183.0 1183.0 1183.0 
1201.0 1201.0 1201.0 
1228.0 1228.0 1228.0 
1239.0 1239.0 1239.0 
1256.0 1256.0 1256.0 
1272.0 1272.0 1272.0 
1283.0 1283.0 1283.0 
1308.0 1308.0 1308.0 
1333.0 1333.0 1333.0 
1344.0 1344.0 1344.0 
1354.0 1354.0 1354.0 
1378.0 1378.0 1378.0 
1398.0 1398.0 1398.0 
1411.0 1411.0 1411.0 
1423.0 1423.0 1423.0 
1438.0 1438.0 1438.0 
1455.0 1455.0 1455.0 
1469.0 1469.0 1469.0 
1482.0 1482.0 1482.0 
1499.0 1499.0 1499.0 
1517.0 1517.0 1517.0 
1553.0 1553.0 1553.0 
1567.0 1567.0 1567.0 
1584.0 1584.0 1584.0 
1602.0 1602.0 1602.0 
1617.0 1617.0 1617.0 
1667.0 1667.0 1667.0 
1687.0 1687.0 1680.0 
1707.0 1712.0 1712.0 
1725.0 1712.0 1725.0 
1742.0 1729.0 1742.0 
1759.0 1783.0 1783.0 
1816.0 1816.0 1805.0 
1866.0 1868.0 1897.0 
;
EXECUTION TIME KUMAR3: 33.4629719257 seconds

-------------------------------------------------------------------
DATFILE : bwopen0_3r_500.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR3
RANGE : 500
STARTING_POS : 0
N_ROBOTS : 3
KUMAR3 T / objective : 2333.0
CONFIGURATIONS :
0 0 0 
0 3 4 
0 3 26 
0 3 5 
0 3 22 
0 3 8 
0 3 13 
0 2 13 
0 2 17 
0 2 25 
0 6 25 
0 6 18 
4 6 18 
4 6 14 
26 6 14 
5 6 14 
5 6 18 
5 21 18 
26 21 18 
5 11 18 
26 11 18 
26 11 14 
22 11 14 
22 11 18 
22 6 18 
22 6 25 
22 24 25 
26 24 25 
5 24 25 
5 24 17 
26 24 17 
26 10 17 
5 10 17 
5 10 13 
26 10 13 
26 15 13 
5 15 13 
5 15 17 
22 15 17 
22 10 13 
4 10 13 
4 10 17 
4 15 17 
4 10 25 
4 15 25 
8 15 25 
8 10 25 
8 10 17 
8 10 13 
8 24 13 
13 6 8 
8 6 22 
13 2 22 
13 2 26 
13 2 5 
8 2 5 
8 2 26 
8 27 5 
8 27 26 
22 27 26 
22 27 5 
22 1 5 
22 1 26 
8 1 26 
8 1 4 
22 1 4 
13 5 4 
13 26 4 
13 5 26 
8 1 0 
13 1 0 
25 1 0 
18 1 0 
18 1 8 
14 1 8 
15 1 8 
10 1 4 
10 1 0 
10 27 0 
15 27 0 
15 27 4 
14 27 4 
14 27 0 
14 9 0 
18 9 0 
18 9 4 
25 9 4 
25 9 26 
25 9 5 
17 9 5 
17 9 22 
13 9 22 
13 9 8 
17 9 13 
17 27 8 
13 27 8 
25 27 8 
25 27 13 
25 27 17 
18 1 13 
18 27 13 
18 27 17 
14 1 13 
14 1 17 
14 2 17 
14 2 25 
18 2 25 
18 24 25 
14 24 13 
15 6 8 
10 6 8 
10 21 4 
15 21 0 
15 21 1 
14 21 1 
14 3 1 
15 3 1 
10 3 1 
10 3 27 
24 3 27 
24 21 27 
24 6 27 
6 21 27 
6 21 9 
6 3 9 
21 3 9 
7 3 9 
7 21 9 
7 21 10 
7 6 10 
7 6 15 
7 24 10 
7 24 15 
12 24 15 
12 24 10 
12 6 10 
16 6 10 
23 6 10 
20 6 10 
20 6 15 
20 21 15 
23 21 10 
16 21 10 
16 21 15 
12 21 10 
12 3 10 
12 3 9 
16 3 9 
23 3 9 
20 3 9 
19 3 9 
19 21 9 
19 6 9 
19 6 10 
19 6 15 
19 24 15 
19 6 14 
19 6 18 
19 11 18 
19 11 25 
19 11 17 
19 6 13 
19 2 13 
19 2 8 
19 2 22 
19 27 22 
19 27 5 
20 27 5 
20 27 1 
19 9 1 
18 10 1 
18 10 2 
14 10 2 
14 15 2 
18 15 2 
18 14 1 
14 9 2 
15 9 2 
10 9 2 
15 9 24 
15 9 10 
13 11 15 
13 11 10 
13 11 24 
8 11 6 
4 11 21 
4 11 3 
0 11 7 
1 11 7 
1 11 12 
27 11 12 
27 11 16 
9 11 16 
9 11 23 
24 11 23 
24 6 20 
6 11 20 
2 11 19 
2 6 19 
2 21 10 
2 3 10 
2 3 24 
2 7 6 
2 12 6 
2 12 7 
2 16 7 
24 16 7 
24 16 12 
2 23 12 
2 20 12 
1 20 16 
1 23 16 
0 20 23 
0 19 16 
0 19 12 
0 19 7 
27 19 7 
27 20 7 
1 23 7 
1 16 6 
1 12 24 
27 7 9 
1 16 14 
1 23 14 
0 20 14 
0 20 18 
0 23 18 
0 20 25 
0 23 15 
0 12 24 
4 12 24 
4 3 2 
0 2 1 
0 2 27 
0 20 19 
0 23 19 
0 0 0 
;

MOVING ROBOT :
0 0 0 
0 1 1 
0 0 1 
0 0 1 
0 0 1 
0 0 1 
0 0 1 
0 1 0 
0 0 1 
0 0 1 
0 1 0 
0 0 1 
1 0 0 
0 0 1 
1 0 0 
1 0 0 
0 0 1 
0 1 0 
1 0 0 
1 1 0 
1 0 0 
0 0 1 
1 0 0 
0 0 1 
0 1 0 
0 0 1 
0 1 0 
1 0 0 
1 0 0 
0 0 1 
1 0 0 
0 1 0 
1 0 0 
0 0 1 
1 0 0 
0 1 0 
1 0 0 
0 0 1 
1 0 0 
0 1 1 
1 0 0 
0 0 1 
0 1 0 
0 1 1 
0 1 0 
1 0 0 
0 1 0 
0 0 1 
0 0 1 
0 1 0 
1 1 1 
1 0 1 
1 1 0 
0 0 1 
0 0 1 
1 0 0 
0 0 1 
0 1 1 
0 0 1 
1 0 0 
0 0 1 
0 1 0 
0 0 1 
1 0 0 
0 0 1 
1 0 0 
1 1 0 
0 1 0 
0 1 1 
1 1 1 
1 0 0 
1 0 0 
1 0 0 
0 0 1 
1 0 0 
1 0 0 
1 0 1 
0 0 1 
0 1 0 
1 0 0 
0 0 1 
1 0 0 
0 0 1 
0 1 0 
1 0 0 
0 0 1 
1 0 0 
0 0 1 
0 0 1 
1 0 0 
0 0 1 
1 0 0 
0 0 1 
1 0 1 
0 1 1 
1 0 0 
1 0 0 
0 0 1 
0 0 1 
1 1 1 
0 1 0 
0 0 1 
1 1 1 
0 0 1 
0 1 0 
0 0 1 
1 0 0 
0 1 0 
1 0 1 
1 1 1 
1 0 0 
0 1 1 
1 0 1 
0 0 1 
1 0 0 
0 1 0 
1 0 0 
1 0 0 
0 0 1 
1 0 0 
0 1 0 
0 1 0 
1 1 0 
0 0 1 
0 1 0 
1 0 0 
1 0 0 
0 1 0 
0 0 1 
0 1 0 
0 0 1 
0 1 1 
0 0 1 
1 0 0 
0 0 1 
0 1 0 
1 0 0 
1 0 0 
1 0 0 
0 0 1 
0 1 0 
1 0 1 
1 0 0 
0 0 1 
1 0 1 
0 1 0 
0 0 1 
1 0 0 
1 0 0 
1 0 0 
1 0 0 
0 1 0 
0 1 0 
0 0 1 
0 0 1 
0 1 0 
0 1 1 
0 0 1 
0 1 0 
0 0 1 
0 0 1 
0 1 1 
0 1 0 
0 0 1 
0 0 1 
0 1 0 
0 0 1 
1 0 0 
0 0 1 
1 1 0 
1 1 0 
0 0 1 
1 0 0 
0 1 0 
1 0 0 
0 1 1 
1 1 1 
1 0 0 
1 0 0 
1 0 1 
0 0 1 
1 1 1 
0 0 1 
0 0 1 
1 0 1 
1 0 1 
0 0 1 
1 0 1 
1 0 0 
0 0 1 
1 0 0 
0 0 1 
1 0 0 
0 0 1 
1 0 0 
0 1 1 
1 1 0 
1 0 1 
0 1 0 
0 1 1 
0 1 0 
0 0 1 
0 1 1 
0 1 0 
0 0 1 
0 1 0 
1 0 0 
0 0 1 
1 1 0 
0 1 0 
1 0 1 
0 1 0 
1 1 1 
0 1 1 
0 0 1 
0 0 1 
1 0 0 
0 1 0 
1 1 0 
0 1 1 
0 1 1 
1 1 1 
1 1 1 
0 1 0 
1 1 0 
0 0 1 
0 1 0 
0 1 1 
0 1 1 
0 1 1 
1 0 0 
0 1 1 
1 1 1 
0 0 1 
0 1 1 
0 1 0 
0 1 1 
;
MEASURING ROBOT :
0 0 0 
1 0 1 
1 0 1 
1 0 1 
1 0 1 
1 0 1 
1 0 1 
1 1 0 
1 0 1 
1 0 1 
1 1 1 
0 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 0 1 
1 1 0 
1 0 1 
1 1 1 
1 1 0 
0 1 1 
1 1 1 
1 0 1 
1 1 0 
1 0 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 0 1 
1 1 1 
1 1 0 
1 1 1 
1 0 1 
1 1 1 
1 1 0 
0 1 1 
1 1 1 
1 1 1 
1 1 1 
1 0 1 
1 1 0 
1 1 1 
0 1 1 
1 1 1 
1 1 0 
1 0 1 
1 0 1 
1 1 1 
0 1 1 
1 0 1 
0 1 1 
0 1 1 
0 1 1 
1 1 1 
1 0 1 
1 1 1 
0 1 1 
1 1 1 
1 0 1 
1 1 1 
0 1 1 
1 1 0 
1 1 1 
1 0 1 
0 1 1 
0 1 1 
0 1 1 
0 1 1 
1 1 0 
1 1 0 
1 1 0 
1 0 1 
1 1 1 
1 1 0 
1 1 0 
1 0 1 
1 1 1 
1 1 0 
0 1 1 
1 1 0 
1 0 1 
1 1 1 
1 1 0 
0 1 1 
1 1 0 
0 1 1 
0 1 1 
1 1 0 
0 1 1 
1 1 0 
0 1 1 
1 0 1 
1 1 0 
1 1 0 
1 1 0 
1 0 1 
1 0 1 
1 0 1 
1 1 0 
1 0 1 
1 0 1 
1 0 1 
1 1 0 
1 0 1 
1 0 1 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
0 1 1 
1 1 0 
0 1 1 
1 1 0 
1 1 0 
0 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 0 
1 1 1 
1 1 1 
1 1 0 
1 1 1 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
1 1 1 
0 1 1 
1 1 1 
1 0 1 
1 1 0 
1 1 1 
1 1 1 
1 1 1 
1 0 1 
1 1 0 
1 1 0 
1 1 0 
1 0 1 
1 1 0 
1 1 0 
1 0 1 
1 1 1 
1 1 1 
1 1 1 
1 0 1 
1 1 0 
1 1 0 
1 0 1 
1 0 1 
1 1 0 
1 0 1 
1 0 1 
1 1 0 
1 1 1 
1 0 1 
1 0 1 
1 1 0 
1 0 1 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
0 1 1 
0 1 1 
1 1 0 
0 1 1 
1 1 0 
1 1 1 
1 1 0 
1 1 0 
0 1 1 
1 1 0 
1 1 0 
0 1 1 
1 0 1 
0 1 1 
0 1 1 
0 1 1 
0 1 1 
0 1 1 
0 1 1 
0 1 1 
1 1 0 
0 1 1 
1 1 1 
0 1 1 
1 1 0 
0 1 1 
1 0 1 
1 0 1 
0 1 1 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 0 1 
1 1 0 
1 1 0 
0 1 1 
0 1 1 
1 1 0 
0 1 1 
0 1 1 
0 1 1 
0 1 1 
